issue_id,title,epic,priority,evidence_grade,problem,why,implementation,data_and_dependencies,acceptance_criteria,tests_required,ui_requirement,security_and_audit,dependencies,free_no_quota_policy
ISSUE-0120,"Implement walk-forward, nested, purged and embargoed validation with multiple-testing control",Model research,P0,High,Current calibration and backtest diagnostics do not provide a complete leakage-safe selection protocol.,"Financial models are unusually vulnerable to serial dependence, repeated trials and regime selection.","- Provide rolling/expanding walk-forward and nested model/parameter selection.
- Purge overlapping labels and apply horizon-based embargo.
- Record every trial and estimate the effective independent trial count.
- Calculate DSR, PBO/CSCV and false-discovery controls where assumptions permit.
- Use block-bootstrap confidence intervals and untouched final tests.
- Require simple baselines and cost-adjusted outcomes.",- ISSUE-0119; ISSUE-0048; ISSUE-0122.,"- No final-test data influence model, feature or hyperparameter selection.
- All discarded trials are retained.
- Validation produces uncertainty and regime/subgroup results.
- Promotion fails when evidence is insufficient or unstable.","- Synthetic leakage tests.
- Fold/embargo property tests.
- Trial-count tests.
- Known-noise false-positive tests.",Validation designer and report in Training and Backtest Labs.,Split definitions and results are immutable and included in audit packets.,ISSUE-0119,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0121,"Create a baseline and challenger model zoo for return, risk and fundamentals",Model research,P0/P1,Moderate,"TimesFM and Toto are prominent, but no model should be judged without diverse simple and domain-specific challengers.",Professional research promotes complexity only when it adds stable net value.,"- Implement naive drift/mean, historical median, linear/ridge/elastic-net, tree boosting, robust regression, state-space and econometric baselines.
- Integrate Darts/statistical models where useful.
- Retain TimesFM/Toto as optional challengers and test finance-specific fine-tuning only under validation.
- Separate return, volatility, quantile and fundamental forecasting tasks.
- Standardise forecast distributions plus resource/latency metadata.","- statsmodels, scikit-learn and Darts.
- Optional LightGBM/XGBoost after intake.
- Existing TimesFM/Toto adapters.","- Every complex model is compared with naive and linear baselines.
- Capability, horizon, data needs and licence are registered.
- Unavailable optional weights/packages yield N/A.
- No model is selected solely on in-sample accuracy.","- Adapter/conformance tests.
- Baseline fixtures.
- Optional-dependency tests.
- Latency/resource tests.",Forecast Lab model comparison and model cards.,"Safe weight loading, offline mode, model licence/size/checksum and no remote-code execution.",ISSUE-0117; ISSUE-0120,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0122,"Implement bounded hyperparameter optimisation, pruning and compute governance",Model research,P1,Moderate,"Unbounded search can be slow, overfit validation data and hide the number of attempts.","Efficient training requires pruning, while statistical honesty requires recording every trial.","- Integrate Optuna or equivalent through an adapter.
- Define constrained search spaces, budgets, seeds, pruning, parallelism and cancellation.
- Run optimisation only inside nested validation.
- Record failed, pruned and completed trials and effective trial count.
- Apply CPU/GPU/memory/time quotas by hardware profile.","- Optuna after intake.
- ISSUE-0077; ISSUE-0120; ISSUE-0151.","- Search never accesses final-test metrics.
- Every trial is persisted and contributes to multiple-testing metadata.
- Resource limits are enforced.
- A no-optimisation baseline remains available.","- Nested-isolation tests.
- Pruning/restart tests.
- Resource-quota tests.
- Trial-ledger integrity tests.","Training Centre optimisation history, parameter importance and resource view.",No arbitrary user code in objectives outside explicit developer/sandbox mode; artefacts are redacted.,ISSUE-0120,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0123,Implement probabilistic and conformal forecast calibration,Model research,P0/P1,Moderate,Current quantiles and calibration thresholds can appear authoritative after very few matured observations.,Return distributions need empirically checked coverage and adaptation to model misspecification.,"- Evaluate pinball loss/CRPS, interval coverage/width, PIT/rank diagnostics, direction and scaled error.
- Add split/conformal or rolling calibration for eligible forecasts.
- Calibrate by model, horizon, asset class and regime with conservative minimum samples.
- Track calibration drift and fallback/widening policies.
- Never infer strong confidence from only a handful of observations.","- Darts conformal components or a reviewed local implementation.
- ISSUE-0120; ISSUE-0108.","- Evidence thresholds are configurable and conservative.
- Coverage and uncertainty are reported with confidence intervals.
- Poor calibration reduces authority or widens intervals.
- Calibration uses only prior matured outcomes.","- Coverage simulation tests.
- Chronology tests.
- Small-sample tests.
- Fallback/widening tests.",Forecast calibration dashboard and reliability diagrams.,Calibration state/version is linked to every forecast and proposal.,ISSUE-0108; ISSUE-0120,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0124,"Implement model monitoring, drift, champion/challenger and retirement governance",Model research,P0/P1,High,A trained model can decay or encounter unsupported regimes after promotion.,"Paper and live authority require continuous performance, data and operational monitoring.","- Monitor feature/target distributions, coverage, calibration, error, turnover, costs and subgroup performance.
- Define warning, demotion, retirement and rollback policies.
- Run challengers shadow-only until evidence matures.
- Detect stale model, data and formula versions.
- Create model cards with intended use, limitations and prohibited use.",- ISSUE-0117; ISSUE-0123; ISSUE-0129.,"- Drift thresholds trigger typed alerts and cannot auto-promote challengers.
- Champion rollback is tested and preserves audit history.
- Performance is assessed net of costs and against baselines.
- Retired models cannot create new proposals.","- Drift simulation tests.
- Promotion/demotion state tests.
- Rollback tests.
- Subgroup-monitoring tests.",Model Operations page and What Matters digest.,"Role/authority controls, immutable promotion records and signed model artefacts.",ISSUE-0117; ISSUE-0123,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0125,"Implement a deterministic event-driven, order-level backtest engine",Backtest & execution,P0,High,The current vectorised rebalance simulator does not model order lifecycle or research-to-paper parity.,Trustworthy paper/live preparation requires the same timing and accounting semantics in historical simulation.,"- Model market clock, data events, signals, targets, proposals, orders, acknowledgements, partial fills, cancellations and expiry.
- Use listing calendars and explicit decision, arrival and fill timestamps.
- Support the market and limit orders needed for long-horizon stocks/ETFs.
- Replay immutable historical events and policies.
- Consider LEAN or NautilusTrader as a separate engine only after an integration proof and licence review.",- ISSUE-0085; ISSUE-0127; ISSUE-0128; ISSUE-0079.,"- No fill precedes an order or valid market session.
- Backtest, paper and proposal contracts are identical.
- Deterministic replay produces identical ledger hashes.
- Unsupported execution data fail closed.","- Event-ordering property tests.
- Partial/cancel tests.
- Session tests.
- Replay-determinism tests.","Backtest event timeline, orders, fills and state inspection.",Strategy code cannot bypass risk/order policy; any external engine is isolated and version-pinned.,ISSUE-0028; ISSUE-0050,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0126,"Implement point-in-time universes, delistings and survivorship-bias controls",Backtest & execution,P0,High,Current configured/candidate universes do not constitute historical investable universes.,Survivorship and selection bias can materially overstate long-term strategy performance.,"- Store universe membership, listing status, availability and delisting/successor events by date.
- Use point-in-time membership for screens, peers and backtests.
- Import delisted securities and terminal returns where lawful data are available; otherwise quantify gaps.
- Freeze user-created historical universe snapshots.
- Prevent current classifications and constituents from leaking backwards.",- ISSUE-0082; ISSUE-0073; user/broker/public historical imports.,"- Historical runs contain only then-known eligible instruments.
- Delistings are not silently dropped.
- Coverage and survivorship limitations are reported.
- Peer and factor universes use matching snapshots.","- Synthetic delisting tests.
- Constituent-leakage tests.
- Missing-terminal-return tests.
- Universe replay tests.",Backtest Universe and Coverage panels.,Source/licence and unresolved delisting data are visible; no terminal return is invented.,ISSUE-0082; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0127,"Create the double-entry portfolio, cash, FX, fee, tax and corporate-action ledger",Trading foundation,P0,High,Paper/live PnL cannot be trusted without a canonical accounting ledger.,"Orders and fills must reconcile positions, cash, income, fees, FX and corporate actions across restarts.","- Implement double-entry journal entries with decimal quantities and money.
- Model accounts, subaccounts, positions, lots, cash, settlements, fees, dividends, withholding, splits, mergers and FX.
- Generate positions and PnL as projections from ledger entries.
- Support imported broker statements and reconciliation adjustments without deleting history.
- Define base/local currency valuation and period-close snapshots.","- ISSUE-0072 SQLite.
- ISSUE-0084; ISSUE-0086.","- The ledger balances for every transaction.
- Positions/cash can be rebuilt from zero by replay.
- Corrections use reversing entries.
- Broker and paper ledgers share schema but separate authority.","- Accounting property tests.
- Corporate-action tests.
- Multi-currency/settlement tests.
- Replay/reconciliation tests.","Portfolio ledger, cash, lots and reconciliation views.","Encrypted sensitive account data, append-only audit and decimal-safe serialisation.",ISSUE-0072; ISSUE-0084,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0128,"Implement spread, slippage, market-impact, capacity and execution-cost models",Trading foundation,P0/P1,Moderate,"Static basis-point assumptions cannot reflect order size, liquidity or stressed conditions.","Expected net return, optimiser turnover and execution decisions require consistent cost models.","- Provide fixed, spread, volatility/volume and square-root-style impact models with conservative fallbacks.
- Estimate costs by instrument, listing, order type, size and session.
- Calibrate from imported historical quotes/fills when available.
- Stress spreads, gaps, FX and commissions.
- Separate research estimates from realised transaction-cost analysis.",- ISSUE-0106; ISSUE-0086; ISSUE-0125.,"- Cost estimates are finite, monotonic with size and uncertainty-aware.
- Missing microstructure data widen estimates.
- The same model feeds return netting, optimiser and paper backtest.
- Realised fills do not rewrite prior estimates.","- Monotonic/property tests.
- Known-fill calibration tests.
- Missing/stress tests.
- Cross-module reconciliation tests.",Cost/Capacity panel and order preview.,Imported broker fills remain private; cost-model changes are versioned.,ISSUE-0064; ISSUE-0106,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0129,"Implement the full paper broker, frozen proposal ledger and forward evidence service",Paper trading,P0,High,The current paper issue describes a PnL tracker rather than an operational simulation.,"Forward evidence must test signals, portfolio decisions, orders, accounting and monitoring before capital is at risk.","- Create isolated paper accounts using the canonical ledger and event engine.
- Freeze every proposal with data, formula, model, portfolio and policy hashes.
- Support accept, reject, defer and auto-paper modes; orders, fills, fees, actions and daily marks.
- Mature configurable outcomes and benchmark/cash comparisons.
- Track operational errors separately from investment performance.",- ISSUE-0125; ISSUE-0127; ISSUE-0128; ISSUE-0057.,"- Paper accounts survive restart and replay exactly.
- No broker network call is possible in paper mode.
- Accepted, rejected and deferred proposals retain outcomes.
- Performance, risk, costs and incidents are attributable.","- Paper lifecycle E2E.
- No-network/static broker tests.
- Restart/replay tests.
- Forward-maturation tests.",Paper Trading operations workspace and per-instrument history.,"Hard network isolation, separate configuration and immutable evidence ledger.",ISSUE-0031; ISSUE-0057,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0130,Implement the target-to-proposal policy and authority engine,Trading foundation,P0,High,A score or forecast must not directly become an order.,"Portfolio constraints, confidence, events, liquidity and authority must mediate every action.","- Transform expected returns and risk into target portfolios through an approved optimiser policy.
- Diff current and target state into proposals with rationale, size, timing and expiry.
- Apply data/model freshness, confidence, event, liquidity, cost, concentration and account constraints.
- Represent no-trade, defer, reduce and manual-review outcomes.
- Use the staged authority state machine from ISSUE-0070.",- ISSUE-0108–ISSUE-0115; ISSUE-0127/0128.,"- No proposal can be created from a headline score alone.
- Every proposal lists passed/failed gates and alternatives.
- Output is deterministic for immutable inputs.
- Proposal authority cannot exceed strategy/model/account stage.","- Gate-ordering tests.
- Boundary/threshold tests.
- Determinism tests.
- Unauthorised-escalation tests.",Proposal Review and Order Preview with gate evidence.,"Policy versions are signed/audited; overrides require reason, scope and limits.",ISSUE-0070; ISSUE-0114,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0131,"Implement broker adapter contracts, read-only synchronisation and reconciliation",Broker integration,P0/P1,High,Future execution cannot rely on local projections or websocket state as truth.,Read-only account reconciliation is the prerequisite for safe order submission.,"- Define official broker-adapter methods for accounts, cash, positions, orders, fills, fees and market status.
- Start with read-only sync and imported statements.
- Use idempotent external/client IDs and reconcile snapshots/events to the local ledger.
- Handle partial fills, cancellations, corrections, disconnects and clock skew.
- Evaluate an official SDK or isolated LEAN/Nautilus adapter; never scrape broker UI.",- ISSUE-0076; ISSUE-0127; ISSUE-0066.,"- Read-only reconciliation detects and classifies every divergence.
- Broker state cannot be overwritten by local assumptions.
- Adapter failure leaves research/paper usable and blocks order authority.
- Credentials are never logged or exported.","- Mock broker conformance suite.
- Disconnect/duplicate/out-of-order tests.
- Statement reconciliation tests.
- Credential-redaction tests.","Broker Status, Reconciliation and read-only account views.","OS credential store/encrypted vault, least privilege, official API terms and network allow-list.",ISSUE-0066; ISSUE-0127,"Adapter software is free/open, but broker accounts, commissions, market-data subscriptions and broker pacing limits are unavoidable external constraints."
ISSUE-0132,"Implement independent pre-trade controls, kill switches and operational limits",Execution safety,P0,High,Model and strategy code must not control its own safety limits.,Automatic or manual order submission requires independent hard controls.,"- Implement maximum order/position/gross/net/sector/factor/currency exposure, turnover, cash, daily loss and drawdown limits.
- Block stale/conflicted data, expired models, closed markets, duplicate orders and configured high-risk events.
- Add per-strategy/account and global disable, cooldown and emergency cancel.
- Evaluate limits against reconciled broker state.
- Require strong confirmation for sensitive stage changes.",- ISSUE-0130; ISSUE-0131; ISSUE-0070.,"- Hard limits cannot be overridden by model code.
- Kill switches are tested in paper and broker sandbox/read-only-compatible paths.
- Every block/override is audited.
- Unknown broker/account state blocks new orders.","- Limit-boundary/property tests.
- Race/duplicate tests.
- Kill-switch drills.
- Configuration-tamper tests.",Risk Controls console with current headroom and kill switch.,"Separate permissions, secure confirmation, append-only incidents and fail-closed defaults.",ISSUE-0131,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0133,Implement staged canary live execution with explicit promotion gates,Execution,P0,Moderate,"The target product includes automation, but immediate broad live trading would bypass paper and operational evidence.",A canary stage limits financial and operational harm while validating the complete system.,"- Permit live submission only after final certification of research, paper, read-only and draft-order stages.
- Restrict approved strategy, instruments, account, order types, value, frequency and trading window.
- Require dry-run/order preview and broker acknowledgement.
- Start with manually confirmed draft orders, then separately approve capped automatic mode.
- Auto-demote on incidents, drift, reconciliation or loss-limit breach.",- ISSUE-0070; ISSUE-0129; ISSUE-0131; ISSUE-0132; ISSUE-0152.,"- Live mode is opt-in, disabled on fresh install and visually distinct.
- Capped authority cannot expand through configuration alone.
- Every order traces to immutable proposal/control evidence.
- Rollback, demotion and emergency shutdown are proven.","- Broker-sandbox tests where available.
- Permission/config tests.
- Canary-limit tests.
- Incident/demotion tests.","Live Operations workspace with unmistakable stage, limits and confirmations.","Independent controls, encrypted secrets, tamper-evident audit, incident runbooks and external-cost disclosure.",ISSUE-0132; ISSUE-0152,"The app software can remain free/open; real trading is inherently subject to broker, exchange, tax, commission and market-data terms and costs."
ISSUE-0134,"Implement post-trade transaction-cost, execution-quality and decision attribution",Execution analytics,P1,Moderate,Backtest assumptions and realised fills are not systematically compared.,"Execution improvement and strategy evaluation require separating alpha, timing, costs and operational slippage.","- Calculate decision, arrival, open/close, benchmark and realised prices.
- Attribute spread, delay, impact, FX, commission and opportunity cost.
- Compare forecast and realised cost by model and venue.
- Feed calibration diagnostics without rewriting past estimates.
- Link to portfolio and decision attribution.",- ISSUE-0128; ISSUE-0131; ISSUE-0116.,"- Fill costs reconcile to the ledger.
- TCA separates estimate and realisation.
- Calibration uses only completed fills.
- Coverage and benchmark limitations are visible.","- Known-fill fixtures.
- Ledger-reconciliation tests.
- Benchmark-timing tests.
- Calibration-chronology tests.",TCA dashboard and per-order drill-down.,Private order/fill data are protected and aggregated exports support redaction.,ISSUE-0131; ISSUE-0116,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0135,"Implement incident management, recovery, reconciliation and operational drills",Execution safety,P0,High,"Execution systems fail through networks, providers, clocks, processes, storage and human error.","Safety depends on rehearsed recovery, not only code-path unit tests.","- Define incident severities, runbooks, ownership, evidence capture and post-mortems.
- Simulate partitions, stale data, duplicate/out-of-order events, broker mismatch, database corruption and clock drift.
- Add safe degraded modes, order freeze and reconciliation recovery.
- Schedule periodic paper/canary drills.
- Track corrective actions and recurrence.",- ISSUE-0040; ISSUE-0077; ISSUE-0131/0132.,"- Every critical failure has a tested runbook.
- Unknown state causes freeze rather than speculative retry.
- Recovery reconciles broker and ledger before re-enabling.
- Post-mortems and evidence are immutable.","- Chaos/fault-injection tests.
- Recovery drills.
- Retry-storm tests.
- Clock/database-corruption tests.",Incidents & Recovery operations centre.,"Restricted incident data, redacted export and tamper-evident logs.",ISSUE-0131; ISSUE-0132,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0136,Create a typed local application API and page-view-model layer,Frontend & API,P0,High,Flet pages call domain calculations and mutable application state directly.,"A stable API/view-model boundary is needed for performance, testing, future frontend options and safe commands.","- Define typed query and command contracts for universe, instruments, scores, forecasts, portfolios, jobs, paper and operations.
- Return immutable paginated view models.
- Use local in-process transport first; optionally expose an authenticated localhost FastAPI service.
- Add optimistic concurrency and idempotency keys for commands.
- Generate client and schema documentation.",- ISSUE-0071; ISSUE-0077; Pydantic; optional FastAPI.,"- Pages do not execute heavy calculations during render.
- Commands and queries have stable contracts and errors.
- Large tables are paginated or virtualised.
- A second frontend can consume the same API without importing domain internals.","- Contract tests.
- Concurrency/idempotency tests.
- Pagination/load tests.
- Local-API authentication tests.",All final workspaces consume view models.,"Local binding by default, CSRF/authentication if HTTP, no secrets in responses and command authorisation.",ISSUE-0071,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0137,Deliver frontend v2 design system and task-oriented information architecture,Frontend & API,P0/P1,Moderate,"The existing UI is broad but dense, text-heavy and route-centric.","Professional research requires clear hierarchy, consistent interaction and separation of research, portfolio and operations tasks.","- Create design tokens, typography, spacing, states, charts, tables, forms, dialogs and notification patterns.
- Organise top-level workspaces as Home, Discover, Instrument, Portfolio, Models, Backtest/Paper, Data Health, Audit and Settings.
- Provide compact, default and advanced evidence modes.
- Stabilise Flet first; decide on React/Tauri only through a measured proof of concept and ADR.
- Create visual specifications and a component catalogue.","- ISSUE-0136; current Flet stack.
- Optional React/Tauri proof only after intake/ADR.","- Every final feature has consistent empty, loading, success, warning and error states.
- No important function remains backend-only.
- Visual hierarchy separates decision, uncertainty, evidence and diagnostics.
- Frontend technology decision is documented with measured costs.","- Component tests.
- Visual regression tests.
- Responsive/accessibility tests.
- User-journey tests.",Application-wide redesign.,No remote telemetry by default; new web dependencies receive supply-chain review.,ISSUE-0136,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0138,"Build professional research, comparison, charting and screening workspaces",Frontend & API,P0/P1,Moderate,Existing tables and detail panels do not yet provide an integrated analyst workflow.,"Users need to move from discovery to evidence, comparison, scenarios and decision efficiently.","- Create multi-instrument comparison with aligned units, currencies and horizons.
- Add linked price, fundamentals, factor, score, return-distribution, scenario and holdings charts.
- Create saved screens, notes, evidence bookmarks and exportable research packets.
- Use virtualised tables, cross-filtering and drill-down.
- Show coverage and uncertainty in every visual.",- ISSUE-0136/0137; ISSUE-0074; ISSUE-0090; ISSUE-0108.,"- Stock and ETF workflows have equal depth and test coverage.
- Displayed and exported values reconcile to canonical queries.
- Partial evidence is visually distinct without colour-only communication.
- Saved workspaces reproduce filters and versions.","- Numerical chart/table tests.
- Large-universe performance tests.
- Visual/accessibility tests.
- Saved-workspace tests.","Discover, Instrument and Comparison workspaces.",Private notes remain local/encrypted and research-packet exports support redaction.,ISSUE-0137,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0139,"Build portfolio, training, paper and live operations workspaces",Frontend & API,P0/P1,High,Operational workflows are absent or distributed across diagnostics pages.,"Portfolio optimisation, experiments, paper accounts and staged live operation require clear states and controls.","- Portfolio: holdings, risk, scenarios, optimiser, rebalance and attribution.
- Training: jobs, trials, validation, model cards and promotion.
- Paper/live: account, proposals, orders, fills, limits, reconciliation, incidents and TCA.
- Use unmistakable authority-stage and environment banners.
- Provide command preview, confirmation, progress, cancellation and recovery.",- ISSUE-0113–ISSUE-0135; ISSUE-0136/0137.,"- Every state-changing action has preview, authority, result and audit link.
- Paper and live are visually and technically separated.
- Unknown or reconciling state blocks submission.
- Keyboard and narrow-window workflows remain usable.","- State-machine UI tests.
- Paper/live separation tests.
- Failure/recovery E2E.
- Visual/accessibility tests.","Portfolio, Training Centre and Operations.","Role/confirmation controls, no credential display and secure session handling.",ISSUE-0136; ISSUE-0137,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0140,"Complete accessibility, global search, command palette, localisation and unit formatting",Frontend & API,P1,Moderate,A dense finance application is difficult to navigate and can mislead through inconsistent formats.,Completion requires accessible operation and clear British/European formats across every workspace.,"- Target WCAG 2.2 AA where technically feasible.
- Add keyboard-first command palette and global instrument/evidence search.
- Centralise date, timezone, currency, percentage, basis-point and number formatting.
- Support a localisation architecture with British English as default.
- Add reduced motion, high contrast, focus and screen-reader labels.",- ISSUE-0137; ISSUE-0136.,"- All critical journeys are keyboard-operable.
- No status depends only on colour.
- Dates, currencies and units are unambiguous.
- Search results respect authority and permissions.","- Automated accessibility scans plus manual review.
- Keyboard/focus tests.
- Locale/unit tests.
- Search-permission tests.",Application-wide.,Search indexes exclude secrets/private notes unless explicitly authorised.,ISSUE-0137,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0141,"Implement hermetic CI, multi-platform build and release automation",Quality & release,P0,High,Current release evidence is largely local and issue-specific.,A final application needs reproducible gates on every change and release.,"- Create locked Python environments and Windows/Linux test matrices.
- Run lint, typing, unit, property, integration, migration, offline E2E, package and smoke tests.
- Build signed/versioned native and portable artefacts.
- Generate machine-readable test/build/evidence manifests.
- Protect release branches and require passing gates.","- GitHub Actions or equivalent.
- ISSUE-0013; UPDATEV2-0029.","- One release workflow creates all supported artefacts and evidence.
- Clean checkout and clean user profile pass.
- Failures cannot update issue closure or release aliases.
- Environment and toolchain versions are pinned.","- CI self-tests.
- Reproducible-build comparison.
- Clean-install tests.
- Failure/permission tests.",Release status in Settings and Data Health.,"Least-privilege CI tokens, protected environments and signed artefacts.",ISSUE-0075; ISSUE-0145,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0142,"Add property, metamorphic, golden, differential and mutation testing",Quality & release,P0/P1,High,"Example-based tests do not fully protect financial formulas, accounting and authority invariants.",Small numerical or control-flow regressions can produce plausible but dangerous outputs.,"- Use Hypothesis for bounds, monotonicity, conservation, chronology and idempotency.
- Create golden reference cases with independent spreadsheet or hand calculations.
- Differentially compare old and new implementations during migration.
- Run mutation testing on scoring, risk, accounting and controls.
- Define numerical tolerance and deterministic seed policy.","- Hypothesis is already present.
- Select mutation tooling through ISSUE-0079.","- Critical invariants have property tests.
- Mutation-score thresholds are set for safety-critical packages.
- Golden cases are versioned and independently reviewed.
- Numerical changes require explicit approval.","- This issue defines the testing layers.
- Tolerance/platform tests.
- Mutation and differential suites.","Quality dashboard shows invariant/domain coverage, not only line coverage.",Fixtures contain no credentials or restricted data.,ISSUE-0074; ISSUE-0127; ISSUE-0132,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0143,"Add visual E2E, load, soak, fault-injection and chaos test programmes",Quality & release,P0/P1,High,Unit and screenshot spot checks do not prove long-running workflows or recovery under stress.,"The final application must remain correct across large data, restarts and degraded dependencies.","- Use Playwright or the most reliable supported Flet browser harness.
- Create deterministic page objects and visual baselines.
- Load-test queries, large universes, imports and event streams.
- Soak-test jobs, memory, database and paper accounts.
- Inject provider, parser, disk, clock, network and broker faults.",- ISSUE-0136/0137; ISSUE-0078; ISSUE-0135.,"- All critical journeys pass source and packaged builds.
- No memory/file-descriptor growth exceeds budget.
- Recovery preserves the last valid state.
- Visual differences require reviewed baselines.","- This issue defines E2E, load, soak and chaos suites.",Test reports and visual diffs are linked from release evidence.,Tests use sandbox/mock broker and network allow-lists; no live orders.,ISSUE-0141,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0144,"Harden secrets, parsers, local APIs, files and network access",Security,P0,High,"The app processes untrusted archives, XML/XBRL/PDF/CSV, model weights and future broker credentials.","A local application can still suffer code execution, data theft, parser denial-of-service or credential leakage.","- Threat-model data, model, plugin, local API and broker surfaces.
- Sandbox or bound parsers/subprocesses; enforce archive, XML entity, PDF and CSV limits.
- Use host allow-lists, timeouts, TLS validation and no remote code execution.
- Store secrets in the OS credential store or an encrypted vault.
- Add secure localhost authentication and CSRF protection if HTTP is exposed.","- defusedxml is present.
- Bandit/Semgrep/pip-audit candidates.
- ISSUE-0079.","- Secrets never enter logs, exports or crash reports.
- Malicious fixtures cannot escape paths, exhaust resources beyond limits or execute code.
- Network access is declared per plugin and can be disabled.
- Security findings block release according to severity policy.","- Malicious archive/XML/CSV/model fixtures.
- Secret-redaction tests.
- API-auth tests.
- Network allow-list tests.",Security status and credential configuration without revealing values.,"Threat model, vulnerability response and audit events.",ISSUE-0076; ISSUE-0145,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0145,"Implement software supply-chain, SBOM, vulnerability, signing and secure-update controls",Security & release,P0,High,Many optional finance/ML packages and copied components increase supply-chain risk.,Users need verifiable packages and a controlled update path.,"- Generate CycloneDX/SPDX SBOMs for source and packaged artefacts.
- Pin dependencies and hashes; scan Python and any introduced Rust/Node/.NET components.
- Run secret, licence and vulnerability scans.
- Sign release manifests/artefacts and verify before update.
- Define dependency cooldown, emergency patch and end-of-life policy.","- pip-audit, Gitleaks, Syft/Grype or equivalents after intake.
- ISSUE-0079.","- Every release has SBOM, provenance, signatures and scan results.
- Known critical vulnerabilities block release unless an approved mitigation exists.
- Updater rejects unsigned or tampered artefacts.
- Third-party notices are packaged.","- Tampered-update tests.
- SBOM-completeness tests.
- Vulnerability-policy tests.
- Offline-update tests.",About/Update page shows verified version and notices.,"Offline update option, least-privilege signing keys and reproducible manifests.",ISSUE-0079; ISSUE-0141,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0146,"Implement encryption, privacy controls, backup and disaster recovery",Security & resilience,P0/P1,High,"Future journals, broker data and credentials contain sensitive financial and personal information.","Local-first privacy requires controlled storage, backup, export and deletion.","- Encrypt secrets and optionally sensitive databases/backups using user-managed recovery keys.
- Classify data and provide export redaction and private-note exclusion.
- Implement incremental checksum-backed backups, retention and restore validation.
- Add corruption recovery and disaster drills.
- Document local deletion and portability.",- ISSUE-0044; ISSUE-0072; OS keychain/cryptography library after review.,"- A clean machine restores a validated backup.
- Loss of a remote service does not lose local research history.
- Private fields stay out of standard audit packets by default.
- Encryption/recovery failure modes are documented and tested.","- Backup/restore drills.
- Wrong/corrupt-key tests.
- Redaction tests.
- Deletion/export tests.","Privacy, Backup and Recovery settings.",Strong standard cryptography and key handling; no home-grown cryptographic scheme.,ISSUE-0044; ISSUE-0144,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0147,Deliver audit packet v3 and one-command deterministic reproduction,Audit & reproducibility,P0,High,"Existing audit packets do not yet capture the final data, model, portfolio and order lineage.",A developer or reviewer must reproduce any analysis or decision without trusting screenshots.,"- Export source snapshots, schemas, formulas, features, models, environment, jobs, scores, forecasts, targets, proposals, orders and fills.
- Include checksums, unavailable markers, issue/build evidence and redaction policy.
- Provide a reproduction command that verifies inputs and rebuilds selected artefacts offline.
- Compare reproduced hashes and declared numerical tolerances.
- Support instrument-, run- and order-scoped packets.",- ISSUE-0075; ISSUE-0090; ISSUE-0117; ISSUE-0127.,"- A selected result reproduces in a clean environment where licences permit.
- Missing/private/restricted artefacts are explicit.
- The manifest rejects unlisted or tampered content.
- No secret is exported.","- Reproduction E2E.
- Tamper tests.
- Redaction tests.
- Backward-compatibility tests.","Audit workspace with packet scope, privacy and verification result.","Signed checksums, allow-listed archive members and private-data controls.",UPDATEV2-0028; ISSUE-0075,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
